"filename", "language", "Log", "Python", "Markdown", "pip requirements", "HTML", "JavaScript", "CSS", "XML", "Database", "Properties", "comment", "blank", "total"
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_40_38.log", "Log", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_47_32.log", "Log", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_48_22.log", "Log", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_50_52.log", "Log", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_56_52.log", "Log", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_59_12.log", "Log", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 14_59_32.log", "Log", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_02_47.log", "Log", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_03_09.log", "Log", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_03_43.log", "Log", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_04_30.log", "Log", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_21_41.log", "Log", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_31_59.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_35_51.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_41_20.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_47_05.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 15_55_27.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_03_33.log", "Log", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_03_51.log", "Log", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_05_49.log", "Log", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_06_44.log", "Log", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_07_18.log", "Log", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_08_22.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_10_08.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_10_27.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_11_25.log", "Log", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_11_50.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_12_00.log", "Log", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_14_26.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_16_51.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_18_37.log", "Log", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_20_10.log", "Log", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_21_13.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_21_31.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_27_54.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_29_43.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_32_43.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_32_54.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_34_30.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_35_33.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_37_03.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_39_21.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_41_22.log", "Log", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_50_43.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 16_59_14.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_01_11.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_01_37.log", "Log", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_05_17.log", "Log", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 74
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_06_44.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_07_20.log", "Log", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_09_13.log", "Log", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_09_41.log", "Log", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_10_14.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_11_13.log", "Log", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_13_28.log", "Log", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_14_20.log", "Log", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_15_34.log", "Log", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 74
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_16_26.log", "Log", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_18_16.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_19_39.log", "Log", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_20_26.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_21_31.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_22_40.log", "Log", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_23_54.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_25_17.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_26_13.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_26_42.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_27_56.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_32_30.log", "Log", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"y:\研究生\跨越网关\代码\Gateway_System\logs\device\2023_04_30 17_32_52.log", "Log", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 13_22_34.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 13_22_36.log", "Log", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 13_23_21.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 13_23_22.log", "Log", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 13_24_21.log", "Log", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 13_27_59.log", "Log", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_04_18.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_05_18.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_05_49.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_07_02.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_07_24.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_15_19.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_15_34.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_16_31.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_18_33.log", "Log", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_21_10.log", "Log", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_26_35.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_29_47.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_29_59.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_32_58.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_33_48.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_34_01.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_34_43.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_35_23.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_37_06.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_38_46.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_40_38.log", "Log", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_47_31.log", "Log", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_48_22.log", "Log", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_50_52.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_56_52.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_59_11.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 14_59_32.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 15_02_47.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 15_03_08.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 15_03_43.log", "Log", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 15_04_30.log", "Log", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 15_21_41.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 15_31_59.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 15_35_51.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 15_41_20.log", "Log", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 15_47_05.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 16_14_26.log", "Log", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 16_16_51.log", "Log", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 16_18_37.log", "Log", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 16_20_10.log", "Log", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 16_21_13.log", "Log", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"y:\研究生\跨越网关\代码\Gateway_System\logs\web\2023_04_30 16_21_31.log", "Log", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
