"filename", "language", "pip requirements", "Python", "Database", "Markdown", "JavaScript", "HTML", "CSS", "XML", "Properties", "comment", "blank", "total"
"y:\Studyplace_Web_Development\Gateway_System\control\src\utils\get_time.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 9, 39
"y:\Studyplace_Web_Development\Gateway_System\control\src\utils\mlogging.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 6, 35
"y:\Studyplace_Web_Development\Gateway_System\db\gateway.db", "Database", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 105
"y:\Studyplace_Web_Development\Gateway_System\main.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 12, 6, 44
"y:\Studyplace_Web_Development\Gateway_System\requirements.txt", "pip requirements", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"y:\Studyplace_Web_Development\Gateway_System\test.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"y:\Studyplace_Web_Development\Gateway_System\web\app\__init__.py", "Python", 0, 46, 0, 0, 0, 0, 0, 0, 0, 10, 13, 69
"y:\Studyplace_Web_Development\Gateway_System\web\app\config.py", "Python", 0, 61, 0, 0, 0, 0, 0, 0, 0, 15, 9, 85
"y:\Studyplace_Web_Development\Gateway_System\web\app\models\models.py", "Python", 0, 115, 0, 0, 0, 0, 0, 0, 0, 14, 25, 154
"y:\Studyplace_Web_Development\Gateway_System\web\app\public.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 6, 39
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\ang-ie11.css", "CSS", 0, 0, 0, 0, 0, 0, 87921, 0, 0, 3173, 22989, 114083
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\ang.css", "CSS", 0, 0, 0, 0, 0, 0, 90214, 0, 0, 3173, 22995, 116382
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\antd-ie11.css", "CSS", 0, 0, 0, 0, 0, 0, 87920, 0, 0, 3173, 22989, 114082
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\antd.css", "CSS", 0, 0, 0, 0, 0, 0, 90193, 0, 0, 3173, 22994, 116360
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\barcode.js", "JavaScript", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 100
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\charts.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 45, 0, 77
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\codemirror.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\color-picker.js", "JavaScript", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 130
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\cropperjs.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 9, 0, 14
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\cxd-ie11.css", "CSS", 0, 0, 0, 0, 0, 0, 87920, 0, 0, 3173, 22989, 114082
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\cxd.css", "CSS", 0, 0, 0, 0, 0, 0, 90189, 0, 0, 3173, 22994, 116356
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\dark-ie11.css", "CSS", 0, 0, 0, 0, 0, 0, 87920, 0, 0, 3173, 22989, 114082
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\dark.css", "CSS", 0, 0, 0, 0, 0, 0, 90195, 0, 0, 3173, 22994, 116362
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\exceljs.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 30, 4, 44
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\helper.css", "CSS", 0, 0, 0, 0, 0, 0, 44655, 0, 0, 2930, 0, 47585
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 2404, 0, 0, 0, 1, 2405
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\iconfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 848, 0, 3, 1663, 2514
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\ie11-patch.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\locale\de-DE.js", "JavaScript", 0, 0, 0, 0, 405, 0, 0, 0, 0, 0, 3, 408
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\markdown.js", "JavaScript", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 136
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\papaparse.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 6, 3, 13
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\rest.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 32
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\rich-text.js", "JavaScript", 0, 0, 0, 0, 123, 0, 0, 0, 0, 158, 118, 399
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\sdk-ie11.css", "CSS", 0, 0, 0, 0, 0, 0, 87920, 0, 0, 3173, 22989, 114082
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\sdk.css", "CSS", 0, 0, 0, 0, 0, 0, 90189, 0, 0, 3173, 22994, 116356
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\sdk.js", "JavaScript", 0, 0, 0, 0, 3439, 0, 0, 0, 0, 236, 114, 3789
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\hls.js\hls.js", "JavaScript", 0, 0, 0, 0, 92, 0, 0, 0, 0, 273, 0, 365
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\base\worker\workerMain.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8, 2, 18
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\apex\apex.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\azcli\azcli.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\bat\bat.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\clojure\clojure.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\coffee\coffee.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\cpp\cpp.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\csharp\csharp.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\css\css.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\dockerfile\dockerfile.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\fsharp\fsharp.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\go\go.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\handlebars\handlebars.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\html\html.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\ini\ini.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\java\java.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\javascript\javascript.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\less\less.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\lua\lua.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\markdown\markdown.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\msdax\msdax.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\objective-c\objective-c.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\php\php.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\postiats\postiats.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\powershell\powershell.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\pug\pug.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\python\python.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\r\r.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\razor\razor.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\redis\redis.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\redshift\redshift.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\ruby\ruby.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\rust\rust.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\sb\sb.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\scheme\scheme.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\scss\scss.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\shell\shell.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\solidity\solidity.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\sql\sql.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\st\st.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\swift\swift.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 10
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\typescript\typescript.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\vb\vb.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\xml\xml.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\basic-languages\yaml\yaml.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\editor\editor.main.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 6
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\editor\editor.main.js", "JavaScript", 0, 0, 0, 0, 661, 0, 0, 0, 0, 58, 90, 809
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\editor\editor.main.nls.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 6, 1, 11
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\editor\editor.main.nls.zh-cn.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 1, 13
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\language\css\cssMode.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\language\css\cssWorker.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\language\html\htmlMode.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\language\html\htmlWorker.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\language\json\jsonMode.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\language\json\jsonWorker.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\language\typescript\tsMode.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\language\typescript\tsWorker.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 20, 0, 21
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\monaco-editor\min\vs\loader.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 6, 1, 11
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\thirds\mpegts.js\mpegts.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 7, 0, 9
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\amis\tinymce.js", "JavaScript", 0, 0, 0, 0, 109, 0, 0, 0, 0, 1, 0, 110
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\css\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2671, 0, 0, 1, 2672
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\css\icons\backkeys.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\css\icons\close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\css\icons\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\css\icons\forwardkeys.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\css\icons\more.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\css\icons\nav.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\css\icons\notes.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\css\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 19982, 0, 0, 334, 2749, 23065
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\js\app.js", "JavaScript", 0, 0, 0, 0, 61878, 0, 0, 0, 0, 2669, 3345, 67892
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\js\data.js", "JavaScript", 0, 0, 0, 0, 799, 0, 0, 0, 0, 0, 1, 800
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\scripts\app.js", "JavaScript", 0, 0, 0, 0, 61878, 0, 0, 0, 0, 2669, 3345, 67892
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\device\scripts\data.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\login\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 287, 0, 0, 15, 1, 303
"y:\Studyplace_Web_Development\Gateway_System\web\app\static\login\js\jquery-2.2.3.min.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"y:\Studyplace_Web_Development\Gateway_System\web\app\templates\device\base.html", "HTML", 0, 0, 0, 0, 0, 122, 0, 0, 0, 6, 10, 138
"y:\Studyplace_Web_Development\Gateway_System\web\app\templates\device\data.html", "HTML", 0, 0, 0, 0, 0, 442, 0, 0, 0, 2, 8, 452
"y:\Studyplace_Web_Development\Gateway_System\web\app\templates\device\index.html", "HTML", 0, 0, 0, 0, 0, 536, 0, 0, 0, 2, 12, 550
"y:\Studyplace_Web_Development\Gateway_System\web\app\templates\login\login.html", "HTML", 0, 0, 0, 0, 0, 73, 0, 0, 0, 20, 10, 103
"y:\Studyplace_Web_Development\Gateway_System\web\app\utils\get_time.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 17, 6, 48
"y:\Studyplace_Web_Development\Gateway_System\web\app\utils\mlogging.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 6, 35
"y:\Studyplace_Web_Development\Gateway_System\web\app\views\device\__init__.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 3, 22
"y:\Studyplace_Web_Development\Gateway_System\web\app\views\device\views.py", "Python", 0, 403, 0, 0, 0, 0, 0, 0, 0, 67, 53, 523
"y:\Studyplace_Web_Development\Gateway_System\web\app\views\index\__init__.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 2, 16
"y:\Studyplace_Web_Development\Gateway_System\web\app\views\index\views.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 6, 36
"y:\Studyplace_Web_Development\Gateway_System\web\app\views\login\__init__.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"y:\Studyplace_Web_Development\Gateway_System\web\app\views\login\views.py", "Python", 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 5, 47
"Total", "-", 8, 2071, 105, 28, 129927, 1173, 957911, 3557, 1, 42011, 241816, 1378608
